,tmdb_id,budget,imdb_id,original_language,original_title,tmdb_popularity,runtime,tagline,title,tmdb_vote_count,tmdb_vote_average,cast1,cast1_popularity,cast2,cast2_popularity,cast3,cast3_popularity
0,141614.0,0.0,tt1856053,fi,Niko 2: Lentäjäveljekset,14.757,77.0,La suite des aventures du petit renne.,"Niko, le petit renne 2",41.0,5.8,Kari Hietalahti,2.764,Juha Veijonen,2.784,Kari Ketonen,4.396
1,10315.0,40000000.0,tt0432283,en,Fantastic Mr. Fox,26.954,88.0,,Fantastic Mr. Fox,4020.0,7.8,George Clooney,16.481,Meryl Streep,17.845,Jason Schwartzman,17.826
2,152601.0,23000000.0,tt1798709,en,Her,28.967,126.0,Une love story de Spike Jonze,Her,12009.0,7.9,Joaquin Phoenix,16.746,Scarlett Johansson,39.263,Amy Adams,17.316
3,56623.0,0.0,tt1526578,fr,"Ao, le dernier néandertal",9.696,84.0,Son destin va vous bouleverser,"Ao, le dernier Néandertal",43.0,5.8,Helmi Dridi,1.746,Vesela Kazakova,1.819,Aruna Shields,1.705
4,125623.0,0.0,tt2073016,fr,Le Fils de l'autre,4.672,105.0,,Le Fils de l'autre,68.0,6.5,Emmanuelle Devos,5.499,Pascal Elbé,1.62,Jules Sitruk,4.432
5,84174.0,3000000.0,tt1920849,en,Bachelorette,38.754,87.0,,Bachelorette,1061.0,5.4,Kirsten Dunst,28.631,Isla Fisher,10.724,Lizzy Caplan,15.044
6,60599.0,12000000.0,tt1764183,en,Arbitrage,10.552,106.0,Le pouvoir est le meilleur des alibis,Arbitrage,676.0,6.3,Richard Gere,31.738,Susan Sarandon,18.043,Tim Roth,19.332
7,49526.0,35000000.0,tt1547234,en,Premium Rush,17.883,91.0,Course contre la mort.,Premium Rush,1743.0,6.3,Joseph Gordon-Levitt,16.948,Michael Shannon,20.214,Jamie Chung,22.514
8,77953.0,95000000.0,tt1790886,en,The Campaign,13.25,97.0,Que le meilleur looser gagne.,"Moi, député",1413.0,5.8,Will Ferrell,9.602,Zach Galifianakis,31.797,Jason Sudeikis,10.85
9,79382.0,0.0,tt1650453,ja,奇跡,9.918,128.0,,I Wish - nos voeux secrets,109.0,7.3,Koki Maeda,0.634,Oshiro Maeda,4.627,Nene Otsuka,7.328
10,77560.0,0.0,tt1437357,de,Faust,7.633,139.0,,Faust,162.0,6.7,Johannes Zeiler,2.769,Anton Adasinsky,0.869,Isolda Dychauk,7.649
11,98877.0,0.0,tt1966505,fr,La Clinique de l'amour!,1.617,83.0,,La Clinique de l'amour!,21.0,5.5,Bruno Salomone,2.137,Natacha Lindinger,5.873,Michel Aumont,1.35
12,56033.0,0.0,tt2053359,cs,Fimfárum – Do třetice všeho dobrého,1.4,62.0,,Le Jardinier qui voulait être roi,2.0,8.0,Jan Werich,3.365,Jiří Macháček,2.429,Miroslav Krobot,2.123
13,79777.0,10000000.0,tt1714209,en,In the Land of Blood and Honey,8.206,127.0,L'amour peut changer ce que nous voulons… la guerre peut changer qui nous sommes.,Au pays du sang et du miel,128.0,5.9,Zana Marjanović,1.783,Goran Kostić,2.616,Branko Đurić,1.487
14,61891.0,30000000.0,tt1521197,en,Anonymous,16.316,129.0,,Anonymous,609.0,6.4,Jamie Campbell Bower,7.36,Rhys Ifans,30.418,David Thewlis,19.62
15,136582.0,0.0,tt2339351,fr,Alyah,1.17,90.0,,Alyah,21.0,6.6,Pio Marmaï,1.473,Cédric Kahn,0.6,Adèle Haenel,7.517
