,global_rank,title,id,release_date,day,month,year,max_theaters_used,first_day_sales,first_weekend_sales,first_week_sales,total_sales,viewers_by_theaters,Unnamed: 0,tmdb_id,budget,imdb_id,original_language,original_title,tmdb_popularity,runtime,tagline,tmdb_vote_count,tmdb_vote_average,cast1,cast1_popularity,cast2,cast2_popularity,cast3,cast3_popularity
0,1,Intouchables,12364,2011-11-02,2,11,2011,898,191342.0,1653303.0,2126545,19490688,21704.0,2690.0,77338.0,13000000.0,tt1675434,fr,Intouchables,122.936,112.0,"Parfois, vous devez entrer dans le monde de quelqu’un d’autre pour découvrir ce qui manque dans le vôtre.",14549.0,8.3,François Cluzet,6.028,Anne Le Ny,5.138,Clotilde Mollet,3.696
1,2,Qu'est-ce qu'on a fait au Bon Dieu ?,14040,2014-04-16,16,4,2014,821,200723.0,1150076.0,1680249,12366033,15062.0,,,,,,,,,,,,,,,,,
2,3,Star Wars: Le Réveil de la Force,13345,2015-12-16,16,12,2015,1093,619020.0,2705096.0,3801235,10507561,9613.0,,,,,,,,,,,,,,,,,
3,4,Le Roi Lion (2019),17528,2019-07-17,17,7,2019,820,630478.0,2559370.0,3252896,10017995,12217.0,,,,,,,,,,,,,,,,,
4,5,Rien à déclarer,11191,2011-02-02,2,2,2011,1036,301089.0,2244226.0,2587056,8150825,7867.0,2689.0,52077.0,28000000.0,tt1528313,fr,Rien à déclarer,8.093,108.0,,952.0,5.8,Benoît Poelvoorde,4.237,Dany Boon,8.485,Julie Bernard,3.87
5,6,La Famille Bélier,14660,2014-12-17,17,12,2014,929,117201.0,690204.0,972689,7450944,8020.0,726.0,304410.0,11000000.0,tt3547740,fr,La Famille Bélier,17.955,105.0,"Émouvant, épatant, en chantant !",2059.0,6.9,Karin Viard,5.134,François Damiens,3.061,Eric Elmosnino,3.969
6,6,La Famille Bélier,14660,2014-12-17,17,12,2014,929,117201.0,690204.0,972689,7450944,8020.0,2599.0,304410.0,11000000.0,tt3547740,fr,La Famille Bélier,17.955,105.0,"Émouvant, épatant, en chantant !",2059.0,6.9,Karin Viard,5.134,François Damiens,3.061,Eric Elmosnino,3.969
7,7,La Reine des neiges 2,17530,2019-11-20,20,11,2019,1020,361818.0,1979782.0,2137267,7401300,7256.0,,,,,,,,,,,,,,,,,
8,8,Star Wars: Les derniers Jedi,15113,2017-12-13,13,12,2017,1027,503727.0,2188853.0,2510462,7076549,6890.0,,,,,,,,,,,,,,,,,
9,9,Skyfall,12100,2012-10-26,26,10,2012,845,258331.0,1231914.0,1839220,7003902,8288.0,2660.0,37724.0,200000000.0,tt1074638,en,Skyfall,92.371,143.0,Pensez à vos péchés.,13389.0,7.2,Daniel Craig,13.561,Judi Dench,8.178,Javier Bardem,25.437
10,10,Avengers: Endgame,15189,2019-04-24,24,4,2019,633,692142.0,2844886.0,3426471,6942474,10967.0,,,,,,,,,,,,,,,,,
11,11,Qu'est-ce qu'on a encore fait au Bon Dieu ?,18084,2019-01-30,30,1,2019,864,362209.0,1852556.0,2153093,6711618,7768.0,3510.0,505436.0,18500000.0,tt6556670,fr,Qu'est-ce qu'on a encore fait au Bon Dieu ?,19.791,99.0,,1067.0,5.9,Christian Clavier,6.732,Chantal Lauby,7.238,Ary Abittan,5.749
12,12,L'Âge de glace: La dérive des continents,11379,2012-06-27,27,6,2012,841,402081.0,1466445.0,1767490,6588883,7834.0,,,,,,,,,,,,,,,,,
13,13,Les Minions,13802,2015-07-08,8,7,2015,837,596291.0,1765000.0,2180461,6588715,7871.0,2569.0,211672.0,74000000.0,tt2293640,en,Minions,57.648,91.0,Gru n’était pas leur premier méchant,9197.0,6.4,Sandra Bullock,24.909,Jon Hamm,17.906,Michael Keaton,17.393
14,14,Harry Potter et les reliques de la mort - partie 2,10193,2011-07-13,13,7,2011,833,732206.0,2532629.0,3129485,6512424,7818.0,,,,,,,,,,,,,,,,,
15,15,Harry Potter et les reliques de la mort - partie 1,9839,2010-11-24,24,11,2010,1020,435069.0,2295310.0,2537450,6016776,5898.0,,,,,,,,,,,,,,,,,
16,16,Star Wars: L'Ascension de Skywalker,17224,2019-12-18,18,12,2019,795,392483.0,1886610.0,2420710,5911207,7435.0,,,,,,,,,,,,,,,,,
17,17,Les Indestructibles 2,17342,2018-07-04,4,7,2018,890,694361.0,1516963.0,1840492,5845365,6567.0,,,,,,,,,,,,,,,,,
18,18,"Les Tuche 3 : Liberté, Égalité, FraterniTuche",17409,2018-01-31,31,1,2018,759,401042.0,1977271.0,2201007,5687200,7493.0,,,,,,,,,,,,,,,,,
19,19,"Moi, Moche et Méchant 3",15290,2017-07-05,5,7,2017,877,455713.0,1393957.0,1756100,5637548,6428.0,,,,,,,,,,,,,,,,,
20,20,La Ch’tite famille,17666,2018-02-28,28,2,2018,843,451530.0,2015704.0,2429906,5626049,6673.0,,,,,,,,,,,,,,,,,
21,21,"Vaiana, la légende du bout du monde",15636,2016-11-30,30,11,2016,846,311041.0,1007014.0,1073991,5625807,6649.0,2540.0,277834.0,150000000.0,tt3521164,en,Moana,39.329,108.0,L’océan vous appelle.,10353.0,7.6,Auli'i Cravalho,6.192,Dwayne Johnson,27.81,Rachel House,8.618
22,22,Joker,18661,2019-10-09,9,10,2019,757,291152.0,1357118.0,1606425,5608532,7408.0,3508.0,475557.0,55000000.0,tt7286456,en,Joker,159.28,122.0,Préparez votre plus beau sourire.,20354.0,8.2,Joaquin Phoenix,16.746,Robert De Niro,23.276,Zazie Beetz,21.015
23,23,Les Petits mouchoirs,11097,2010-10-20,20,10,2010,629,166477.0,1018595.0,1369812,5457251,8676.0,,,,,,,,,,,,,,,,,
24,24,Les Aventures de Tintin : Le secret de la Licorne,10845,2011-10-26,26,10,2011,850,491540.0,2248976.0,3158313,5309485,6246.0,,,,,,,,,,,,,,,,,
25,25,Sur la piste du Marsupilami,11794,2012-04-04,4,4,2012,870,251264.0,1223573.0,1728270,5304366,6096.0,2658.0,102207.0,50000000.0,tt1723642,fr,Sur la piste du Marsupilami,8.45,105.0,Qu'est ce qu'on croyait qui n'existait pas mais qui n'existe ?,734.0,5.2,Alain Chabat,5.13,Jamel Debbouze,7.687,Fred Testot,4.19
26,26,Supercondriaque,13769,2014-02-26,26,2,2014,836,367153.0,1705207.0,2151921,5269924,6303.0,2598.0,248507.0,0.0,tt3421514,fr,Supercondriaque,8.713,107.0,,938.0,5.5,Dany Boon,8.485,Kad Merad,3.8,Alice Pol,7.148
27,27,Jurassic World,13746,2015-06-10,10,6,2015,859,359010.0,1735467.0,2087959,5204879,6059.0,2568.0,135397.0,150000000.0,tt0369610,en,Jurassic World,166.469,125.0,Le parc est ouvert !,17862.0,6.7,Chris Pratt,31.211,Bryce Dallas Howard,25.216,Ty Simpkins,16.046
28,28,Lucy,14190,2014-08-06,6,8,2014,664,351054.0,1515449.0,1941424,5203226,7836.0,2597.0,240832.0,40000000.0,tt2872732,en,Lucy,80.896,89.0,On utilise en moyenne 10 % de nos capacités cérébrales. Elle est à 100 %.,13990.0,6.4,Scarlett Johansson,39.263,Morgan Freeman,25.481,Choi Min-sik,5.302
29,29,La Reine des neiges,13140,2013-12-04,4,12,2013,903,130365.0,776069.0,862291,5151855,5705.0,,,,,,,,,,,,,,,,,
30,30,Avengers: Infinity War,15188,2018-04-25,25,4,2018,843,405058.0,1841295.0,2565953,5141500,6099.0,,,,,,,,,,,,,,,,,
31,31,Rogue One: A Star Wars Story,15602,2016-12-14,14,12,2016,910,271502.0,1306857.0,1798117,5076199,5578.0,,,,,,,,,,,,,,,,,
